iter	Passed	Remaining
909	19055	12354
910	19081	12337
911	19104	12317
912	19128	12298
913	19160	12284
914	19185	12265
915	19210	12248
916	19235	12229
917	19259	12210
918	19283	12190
919	19303	12169
920	19326	12150
921	19350	12131
922	19373	12110
923	19395	12090
924	19416	12069
925	19436	12048
926	19460	12029
927	19486	12010
928	19508	11990
929	19532	11971
930	19556	11952
931	19579	11932
932	19603	11913
933	19624	11892
934	19647	11872
935	19667	11851
936	19689	11830
937	19713	11811
938	19736	11791
939	19755	11769
940	19776	11748
941	19796	11726
942	19818	11706
943	19840	11685
944	19861	11664
945	19883	11644
946	19904	11623
947	19925	11602
948	19945	11580
949	19966	11559
950	19986	11538
951	20008	11517
952	20030	11496
953	20051	11476
954	20072	11455
955	20096	11435
956	20119	11415
957	20141	11395
958	20162	11374
959	20183	11353
960	20202	11331
961	20224	11310
962	20246	11290
963	20268	11269
964	20289	11248
965	20309	11227
966	20330	11205
967	20351	11184
968	20370	11162
969	20390	11141
970	20410	11119
971	20431	11098
972	20452	11077
973	20472	11056
974	20493	11034
975	20514	11013
976	20534	10992
977	20555	10971
978	20575	10949
979	20595	10928
980	20616	10907
981	20637	10886
982	20657	10864
983	20678	10843
984	20698	10822
985	20718	10800
986	20738	10778
987	20756	10756
988	20777	10735
989	20797	10713
990	20816	10692
991	20837	10670
992	20857	10649
993	20877	10627
994	20897	10606
995	20920	10586
996	20940	10564
997	20960	10543
998	20980	10521
999	21001	10500
1000	21022	10479
1001	21043	10458
1002	21063	10437
1003	21084	10416
1004	21103	10394
1005	21123	10372
1006	21146	10352
1007	21166	10331
1008	21185	10309
1009	21205	10287
1010	21227	10267
1011	21248	10246
1012	21268	10224
1013	21291	10204
1014	21310	10183
1015	21332	10162
1016	21355	10142
1017	21376	10121
1018	21395	10099
1019	21416	10078
1020	21436	10057
1021	21457	10035
1022	21477	10014
1023	21497	9992
1024	21518	9972
1025	21538	9950
1026	21558	9929
1027	21578	9907
1028	21597	9885
1029	21616	9863
1030	21636	9842
1031	21657	9821
1032	21678	9800
1033	21697	9778
1034	21718	9757
1035	21738	9735
1036	21758	9714
1037	21780	9694
1038	21800	9672
1039	21822	9652
1040	21846	9632
1041	21867	9611
1042	21885	9589
1043	21904	9567
1044	21924	9546
1045	21944	9524
1046	21963	9502
1047	21982	9481
1048	22003	9459
1049	22024	9439
1050	22047	9418
1051	22067	9397
1052	22090	9377
1053	22111	9356
1054	22132	9335
1055	22153	9314
1056	22173	9292
1057	22193	9271
1058	22213	9250
1059	22234	9229
1060	22254	9208
1061	22278	9188
1062	22297	9166
1063	22317	9145
1064	22338	9124
1065	22358	9102
1066	22378	9081
1067	22398	9059
1068	22417	9038
1069	22438	9017
1070	22458	8996
1071	22482	8976
1072	22504	8955
1073	22525	8934
1074	22546	8913
1075	22565	8892
1076	22586	8871
1077	22607	8849
1078	22631	8830
1079	22650	8808
1080	22673	8788
1081	22694	8767
1082	22714	8746
1083	22734	8724
1084	22770	8709
1085	22796	8690
1086	22816	8669
1087	22836	8647
1088	22856	8626
1089	22876	8604
1090	22895	8583
1091	22916	8562
1092	22938	8541
1093	22958	8520
1094	22978	8498
1095	23003	8479
1096	23027	8459
1097	23051	8439
1098	23071	8418
1099	23091	8396
1100	23111	8375
1101	23131	8354
1102	23152	8333
1103	23175	8313
1104	23196	8291
1105	23218	8271
1106	23245	8252
1107	23266	8231
1108	23286	8210
1109	23305	8188
1110	23325	8166
1111	23345	8145
1112	23363	8123
1113	23383	8102
1114	23403	8081
1115	23431	8062
1116	23453	8041
1117	23473	8020
1118	23495	7999
1119	23520	7980
1120	23542	7959
1121	23562	7938
1122	23581	7916
1123	23602	7895
1124	23631	7877
1125	23651	7855
1126	23671	7834
1127	23691	7813
1128	23712	7792
1129	23743	7774
1130	23767	7754
1131	23787	7733
1132	23807	7711
1133	23829	7690
1134	23848	7669
1135	23875	7650
1136	23894	7628
